"","Price","Condo","Size","Rooms","Toilets","Suites","Parking","Elevator","Furnished","Swimming.Pool","New","Sale","District","Latitude","Longitude","Cluster_Silhouette"
"12673",200000,346,48,2,1,0,1,"0","0","0","0",TRUE,"Cidade Líder/São Paulo",-23.562195,-46.4794248,4
"6538",239000,300,63,3,2,1,1,"1","0","0","0",TRUE,"Sapopemba/São Paulo",-23.603797,-46.513228,1
"4548",5900,1519,174,3,3,2,3,"0","0","1","0",FALSE,"Lapa/São Paulo",0,0,7
"13165",210000,400,45,2,1,0,1,"0","0","0","0",TRUE,"Vila Curuçá/São Paulo",-23.505197,-46.4261978,4
"12614",240000,380,54,2,1,0,1,"0","0","0","0",TRUE,"Cangaíba/São Paulo",-23.510831,-46.529458,4
"9206",2700,861,58,2,2,1,1,"1","1","1","0",FALSE,"Liberdade/São Paulo",-23.565184,-46.643505,5
"1072",3700,2744,125,3,4,1,2,"0","1","0","0",FALSE,"Itaim Bibi/São Paulo",-23.582595,-46.673393,8
"490",1700,0,65,3,2,1,1,"0","0","1","0",FALSE,"São Mateus/São Paulo",-23.587856,-46.488525,2
"3889",2700,698,55,1,2,1,1,"0","0","1","0",FALSE,"Morumbi/São Paulo",-23.6012803,-46.7174873,2
"3614",12000,4000,245,4,5,4,3,"0","1","1","0",FALSE,"Itaim Bibi/São Paulo",-23.5810888,-46.6713368,7
"7458",1190000,1495,177,3,3,1,2,"0","0","1","0",TRUE,"Santo Amaro/São Paulo",-23.6558,-46.689602,2
"4730",4760,650,36,1,2,1,1,"0","1","1","0",FALSE,"Pinheiros/São Paulo",0,0,5
"5086",1259000,850,80,2,2,1,1,"0","0","1","0",TRUE,"Brooklin/São Paulo",-23.6116403,-46.6926875,2
"7720",219000,270,41,2,2,1,1,"1","0","1","1",TRUE,"Cachoeirinha/São Paulo",-23.475711,-46.659506,2
"6169",415000,450,68,3,2,1,2,"0","0","0","0",TRUE,"Carrão/São Paulo",-23.557658,-46.539919,8
"7947",1590000,1100,120,3,2,1,2,"1","0","1","0",TRUE,"Pinheiros/São Paulo",-23.560619,-46.688366,1
"9099",2100,400,39,1,2,1,1,"0","0","1","0",FALSE,"Bela Vista/São Paulo",-23.554942,-46.638965,2
"1932",2850,860,72,2,3,1,2,"1","1","1","0",FALSE,"Perdizes/São Paulo",-23.531909,-46.674741,5
"12131",476000,550,50,1,1,0,1,"0","0","1","0",TRUE,"República/São Paulo",-23.4855794,-46.7087635,2
"12497",310000,250,55,3,1,0,1,"0","0","0","0",TRUE,"Aricanduva/São Paulo",0,0,4
"8407",240000,358,55,1,1,0,0,"0","1","0","0",TRUE,"Liberdade/São Paulo",-23.5528861,-46.628202,4
"1701",1200,280,65,2,2,1,1,"0","0","0","0",FALSE,"Butantã/São Paulo",-23.570469,-46.750532,6
"2013",1200,232,50,2,2,1,1,"0","1","0","0",FALSE,"Pirituba/São Paulo",-23.494374,-46.749137,6
"5817",245000,0,51,2,2,1,1,"1","1","1","0",TRUE,"Tremembé/São Paulo",-23.420073,-46.58062,5
"1941",2600,1590,105,3,3,1,2,"0","0","0","0",FALSE,"Perdizes/São Paulo",-23.532512,-46.676494,8
"6071",235000,0,38,1,2,1,1,"1","0","1","0",TRUE,"Belém/São Paulo",-23.53574,-46.595085,2
"3188",2500,570,72,2,2,1,2,"1","1","1","0",FALSE,"Tatuapé/São Paulo",-23.5420918,-46.5701049,5
"8653",580000,0,76,3,2,1,2,"0","0","1","0",TRUE,"Casa Verde/São Paulo",-23.5127976,-46.6577909,2
"5610",898000,1500,135,4,4,2,2,"1","0","1","0",TRUE,"Pari/São Paulo",-23.532896,-46.568899,7
"2139",1600,810,67,2,2,1,1,"0","0","1","0",FALSE,"Barra Funda/São Paulo",0,0,2
"2557",1650,800,45,1,1,0,1,"0","0","0","0",FALSE,"Santa Cecília/São Paulo",-23.5340558,-46.6595687,4
"7907",199000,0,37,2,2,1,1,"0","0","0","0",TRUE,"Perus/São Paulo",-23.406884,-46.737037,6
"6747",320000,300,65,2,2,1,1,"0","1","0","0",TRUE,"Vila Formosa/São Paulo",-23.568226,-46.542416,6
"8191",660000,710,53,1,1,0,1,"0","0","0","0",TRUE,"Bela Vista/São Paulo",-23.551787,-46.6453006,4
"9649",1000,442,67,2,2,1,2,"0","0","0","0",FALSE,"Cidade Líder/São Paulo",-23.555285,-46.479096,6
"11189",2750,900,115,3,3,2,1,"0","0","0","0",FALSE,"Brooklin/São Paulo",-23.6147909,-46.682379,8
"9533",2600,1404,140,3,3,1,2,"1","0","1","0",FALSE,"Medeiros/São Paulo",-23.599178,-46.728962,5
"11711",369000,750,86,3,3,1,2,"0","0","1","0",TRUE,"Morumbi/São Paulo",-23.626606,-46.72965,2
"6480",385000,440,70,2,2,1,1,"0","0","1","0",TRUE,"Penha/São Paulo",-23.517711,-46.531392,2
"3570",3800,580,103,4,2,1,2,"0","0","1","0",FALSE,"Ipiranga/São Paulo",-23.610001,-46.6133897,2
"10628",1950,580,53,2,1,0,1,"0","0","0","0",FALSE,"Jabaquara/São Paulo",-23.641876,-46.633053,4
"6775",260000,0,50,2,2,1,1,"1","0","0","0",TRUE,"Vila Jacuí/São Paulo",-23.503837,-46.456296,1
"7176",157900,0,41,2,1,0,1,"1","0","0","1",TRUE,"Jabaquara/São Paulo",-23.659813,-46.665408,1
"2236",1600,450,44,1,1,0,0,"1","0","0","0",FALSE,"Bela Vista/São Paulo",-23.5589693,-46.6484946,1
"8820",1060000,1500,93,2,1,0,1,"0","0","0","0",TRUE,"Jardim Paulista/São Paulo",-23.5639647,-46.6652962,4
"11385",230000,0,48,2,2,1,1,"0","0","0","0",TRUE,"Aricanduva/São Paulo",-23.577179,-46.491147,6
"229",6500,0,92,1,2,1,1,"0","0","0","0",FALSE,"Iguatemi/São Paulo",-23.5857,-46.6826,6
"7983",395000,550,77,2,2,1,1,"1","0","1","0",TRUE,"Raposo Tavares/São Paulo",-23.590946,-46.805218,1
"11944",770000,1026,93,3,3,1,2,"0","0","1","0",TRUE,"Barra Funda/São Paulo",-23.5301471,-46.653243,2
"11678",1850000,1900,200,3,4,1,1,"1","0","0","0",TRUE,"Jardim Paulista/São Paulo",-23.567147,-46.654655,1
"425",1600,360,57,2,2,1,1,"0","1","1","0",FALSE,"Sapopemba/São Paulo",-23.58575,-46.533612,5
"11573",235000,150,40,2,2,1,1,"1","0","0","0",TRUE,"Vila Matilde/São Paulo",-23.535738,-46.532846,1
"9552",3000,1368,133,3,4,3,2,"0","1","0","0",FALSE,"Água Rasa/São Paulo",-23.553208,-46.581889,3
"3471",1500,605,72,3,2,1,1,"0","1","1","0",FALSE,"Campo Grande/São Paulo",-23.6664204,-46.6814546,5
"2948",1050,250,57,2,1,0,1,"1","0","0","0",FALSE,"Artur Alvim/São Paulo",0,0,1
"4496",1050,297,47,2,1,0,1,"0","0","0","0",FALSE,"Jaraguá/São Paulo",-23.4401977,-46.7289269,4
"5241",3501,850,115,2,4,1,2,"1","1","1","0",FALSE,"Mooca/São Paulo",-23.548743,-46.59471,5
"11472",203000,0,40,2,2,1,1,"1","0","1","0",TRUE,"Jardim Helena/São Paulo",-23.536115,-46.427779,2
